CustomerID,CustomerName,Email,Phone,Address,Segment,ProductID,ProductName,Category,PurchaseAmount,PurchaseDate
432,Nicole Copeland PhD,heather68@example.org,028-735-3996,"620 Mark Trail, North Michaelbury, UT 85326",General Shopper,43,Remain Electronics,Electronics,48.9,2024-12-05
90,Elizabeth Shepard,gpeterson@example.net,132-131-9066,"291 Donald Spur Suite 103, South Alyssamouth, AL 02832",Bargain Hunter,32,Until Kitchen,Home & Kitchen,36.79,2024-07-25
196,William Farrell,brian26@example.net,554-569-4763,"59162 Shawn Bridge Apt. 431, North Heather, AS 45567",General Shopper,11,Shoulder Clothing,Clothing,35.32,2024-05-23
488,Ryan Jackson,ryan90@example.net,827-927-8392,"343 Jenna Turnpike, Gutierrezfurt, TN 83612",Fashion Lover,34,Fire Grocery,Grocery,290.64,2024-05-12
136,Justin Stark,brianholloway@example.net,998-854-9911,"29411 Beck Station Apt. 762, North Mitchellfort, HI 01041",Tech Enthusiast,45,Right Electronics,Electronics,354.85,2024-06-30
95,Rebekah Nixon,sophia75@example.org,602-737-7832,"6677 Neil Vista Apt. 089, Rebeccamouth, PA 06704",Bargain Hunter,48,Huge Books,Books,20.28,2024-08-17
249,Robin Hunter,zgoodwin@example.com,228-779-6622,"3261 Kyle Mews Apt. 903, East William, LA 29043",Tech Enthusiast,43,Remain Electronics,Electronics,259.22,2024-03-24
109,Katherine Owen,fitzpatrickfrancisco@example.com,033-084-4097,"USNS Woods, FPO AE 16412",Tech Enthusiast,34,Fire Grocery,Grocery,262.88,2024-08-11
254,Randy Fleming,matthew56@example.com,751-904-0384,"674 Henderson Lights, North Amandaview, SD 45360",Bargain Hunter,34,Fire Grocery,Grocery,43.93,2024-11-10
238,Casey Gibson,swilliams@example.org,187-732-8619,"553 Donald Greens, Port Jacob, OK 66377",Bargain Hunter,28,Special Supplies,Pet Supplies,46.65,2024-05-12
163,Cindy Chang,hhammond@example.net,260-445-5473,"29092 Gross Lakes Apt. 897, Port Jeanettechester, AS 77983",Bargain Hunter,34,Fire Grocery,Grocery,15.27,2023-12-25
199,Terry Grimes,mwest@example.com,157-939-3003,"5893 Boyd Circles, South Eddieside, CO 76875",Fashion Lover,34,Fire Grocery,Grocery,296.94,2023-06-17
443,Andrea Wilson,hartkelly@example.org,061-782-6137,"11390 Teresa Wells Apt. 989, Teresabury, PA 87343",General Shopper,29,Difficult Books,Books,81.51,2024-09-26
191,Annette Allen,mrivera@example.net,274-891-8859,"0245 George Prairie Apt. 242, Lake Jeremiahfurt, PW 70702",Bargain Hunter,35,Gas Books,Books,28.13,2023-05-16
447,Jeffrey Brooks,bobbyjohnson@example.org,263-637-0887,"173 Coleman Hills, Vincenttown, NM 42740",Bargain Hunter,40,Thousand Automotive,Automotive,16.43,2023-05-28
474,Kevin Barnes,jon05@example.net,557-060-3977,"Unit 2997 Box 1262, DPO AA 03889",Tech Enthusiast,48,Huge Books,Books,283.93,2024-04-25
496,Gregory Smith,nicholas55@example.net,452-171-6974,"31341 Whitney Lock Apt. 638, West Ericborough, NC 52068",General Shopper,10,Despite Outdoors,Sports & Outdoors,91.26,2023-04-14
136,Justin Stark,brianholloway@example.net,998-854-9911,"29411 Beck Station Apt. 762, North Mitchellfort, HI 01041",Tech Enthusiast,27,Protect Supplies,Pet Supplies,114.24,2023-05-19
189,Dr. Jeremy Russell,walter62@example.com,847-821-8003,"22056 Nicholas Shores Suite 781, East Tony, SD 85503",Fashion Lover,20,Situation Outdoors,Sports & Outdoors,283.91,2023-01-22
455,Diane Lopez,christensenroberto@example.org,366-484-8111,"166 David Inlet, Hayleyland, TX 77625",General Shopper,24,Day Supplies,Pet Supplies,32.16,2024-08-30
158,Julie Koch,david64@example.org,517-642-8706,"068 Sherry Squares Suite 856, Ryanville, MT 25651",General Shopper,41,Such Clothing,Clothing,126.94,2023-06-21
278,William Thomas,millermisty@example.net,946-825-4318,"42194 Linda Trace, Smithside, GU 75101",Tech Enthusiast,38,Necessary Electronics,Electronics,142.4,2024-01-03
452,Michael Smith,jenniferjames@example.org,887-453-1437,"406 Christopher Orchard, Shannonmouth, MH 24635",General Shopper,4,Information Games,Toys & Games,103.26,2023-11-08
257,Gavin Lopez,sandersnichole@example.com,796-106-5787,"Unit 0611 Box 8315, DPO AP 39248",Tech Enthusiast,47,Especially Automotive,Automotive,449.29,2023-02-12
128,Kayla Gordon,alexisbennett@example.com,384-259-3161,"5585 Teresa Path, Melaniefort, NH 73705",Bargain Hunter,32,Until Kitchen,Home & Kitchen,45.93,2023-01-12
311,Melinda Moore,whiteroy@example.com,083-881-3705,"Unit 1256 Box 1158, DPO AP 95879",Fashion Lover,3,Compare Beauty,Health & Beauty,69.18,2024-12-11
172,Debra Daugherty,troykelley@example.org,337-208-3513,"7707 Copeland Plains, East Samantha, SC 59821",General Shopper,11,Shoulder Clothing,Clothing,67.45,2024-05-25
409,Richard Goodman,bzimmerman@example.net,225-874-3739,"006 Brittany Fort Suite 401, South Debbie, HI 11164",Bargain Hunter,46,Site Games,Toys & Games,14.68,2024-07-22
4,Emily Guzman,kathleenrogers@example.net,601-140-1700,"422 Sheila Courts, Penningtonborough, FM 91867",General Shopper,5,Stay Clothing,Clothing,93.32,2023-11-21
268,Evelyn Monroe,sharon26@example.com,762-879-6387,"5910 Devin Mall Apt. 956, South Loriborough, TX 56095",General Shopper,16,Though Outdoors,Sports & Outdoors,70.32,2024-11-16
262,Pamela Delgado,saramcintyre@example.org,686-350-1906,"4643 Wesley Flat, Christopherland, NM 91177",Bargain Hunter,36,Effect Outdoors,Sports & Outdoors,31.77,2024-12-26
12,Lauren Williams,michaelharrington@example.org,923-316-6686,"17570 Lopez Port Suite 570, Mcdonaldchester, DE 89635",Bargain Hunter,39,Author Outdoors,Sports & Outdoors,21.23,2024-05-21
475,Deanna Duke,bradmartinez@example.org,379-942-1669,"2632 Williams Ferry Suite 557, Cowanview, NV 65721",General Shopper,23,Very Kitchen,Home & Kitchen,36.02,2023-01-17
73,Thomas Woodward,cookjeffrey@example.com,353-166-9648,"93475 Sarah Ports, Lake Manuel, WA 52285",General Shopper,19,Economic Games,Toys & Games,126.3,2024-10-27
304,Julie Garcia,simonsarah@example.net,031-230-8052,"326 Walters Meadow Suite 425, East Taraland, KS 29088",Bargain Hunter,47,Especially Automotive,Automotive,41.85,2023-08-03
228,Michelle Brown,tlucero@example.net,946-355-2604,"87575 Peggy Track, Samanthabury, IL 44181",General Shopper,14,Threat Electronics,Electronics,49.6,2024-04-14
165,Donna Johnson,clayton83@example.com,659-095-2487,"94867 Kristina Plains Suite 388, Lake Kristi, UT 81518",Bargain Hunter,15,Wide Supplies,Pet Supplies,28.22,2023-01-17
118,Jay Johnston,alanmorris@example.org,074-456-6649,"1885 Reed Shoal Suite 805, West Laura, PW 55287",Tech Enthusiast,43,Remain Electronics,Electronics,117.91,2024-03-13
230,Raven Lee,moranrobert@example.com,852-985-7778,"646 Michael Shore Apt. 595, West Andrewville, ID 43086",Bargain Hunter,50,Dream Games,Toys & Games,33.44,2024-02-11
154,Nathan Williams,stacey62@example.org,013-176-1650,"0265 Smith Passage, Alexandershire, NM 76296",Bargain Hunter,7,High Automotive,Automotive,11.49,2024-06-14
194,Richard Garcia,monica24@example.org,942-158-8194,"96021 Flores Locks Suite 648, South Angie, NC 13617",Fashion Lover,13,Claim Supplies,Pet Supplies,213.32,2024-11-16
249,Robin Hunter,zgoodwin@example.com,228-779-6622,"3261 Kyle Mews Apt. 903, East William, LA 29043",Tech Enthusiast,50,Dream Games,Toys & Games,461.91,2024-05-25
162,Eric Wiley,annasanders@example.net,385-759-3568,"USNV Johnson, FPO AE 55122",General Shopper,9,Tonight Books,Books,161.09,2023-03-16
309,Anna Morris,tjones@example.org,198-342-5217,"696 Hernandez Drive, Payneport, FL 67354",Tech Enthusiast,23,Very Kitchen,Home & Kitchen,164.1,2023-09-26
242,Christopher Lamb,jmoran@example.com,733-046-7800,"22869 Fox Spurs, Velezburgh, WI 41837",Fashion Lover,5,Stay Clothing,Clothing,244.65,2023-12-28
10,Stephanie Rivas,martinezkristin@example.org,715-752-8804,"7229 Patel Club, Port Amy, VA 30522",Bargain Hunter,48,Huge Books,Books,43.05,2023-05-20
426,Robert Miller,cruzraymond@example.com,376-784-3276,"2470 Nicole Drive Suite 637, Ryanview, MT 88721",Tech Enthusiast,28,Special Supplies,Pet Supplies,145.77,2024-10-04
326,John Osborn,jennifer47@example.com,664-579-8792,"6167 Mark Union Apt. 122, North Andrea, MH 91384",General Shopper,32,Until Kitchen,Home & Kitchen,39.72,2023-12-16
261,Jason Salazar,susan65@example.net,673-992-5393,"50798 Carter Underpass, Georgeberg, MA 24083",General Shopper,24,Day Supplies,Pet Supplies,199.5,2024-04-24
414,David Rodgers,boothemily@example.net,555-811-7686,"00709 Mark Heights, Stephanieshire, NY 67468",Tech Enthusiast,38,Necessary Electronics,Electronics,434.38,2024-10-12
495,Douglas Byrd,jacobjohnson@example.net,615-289-8820,"653 Tony Roads, Barberland, MS 87569",Bargain Hunter,41,Such Clothing,Clothing,26.3,2024-02-17
223,Gregg Johnson,chavezsarah@example.com,034-796-6624,"075 Jackson Stravenue Suite 725, Audreystad, SD 56503",Bargain Hunter,34,Fire Grocery,Grocery,35.56,2023-07-09
139,Stephen Johnson,amy97@example.com,348-355-7515,"35047 Bailey Summit Apt. 500, North Gabrielfurt, NY 94119",Tech Enthusiast,45,Right Electronics,Electronics,228.31,2023-01-21
45,James Gonzalez,qrogers@example.net,949-545-3536,"5269 Laura Manor, Carrieville, AK 72177",Fashion Lover,2,Family Supplies,Pet Supplies,146.6,2023-10-20
240,Monica Powell,danielhaynes@example.net,606-530-6926,"357 Amy Drives Suite 221, West Stephanie, WY 93428",General Shopper,10,Despite Outdoors,Sports & Outdoors,79.95,2023-02-11
173,Nathan Lam,astewart@example.com,377-034-5775,"00893 Brianna Valleys Apt. 112, New Adamview, LA 45911",General Shopper,16,Though Outdoors,Sports & Outdoors,13.13,2023-11-05
451,Beth Rogers,cgonzalez@example.net,028-497-5290,"563 Norris Wall Apt. 228, Johnsonton, KY 77441",Fashion Lover,3,Compare Beauty,Health & Beauty,249.11,2024-08-26
138,Daniel King,garciashannon@example.org,749-131-0145,"071 Michelle Alley Suite 376, Woodardtown, WA 52116",Bargain Hunter,32,Until Kitchen,Home & Kitchen,21.65,2023-03-02
473,Danielle Davis,myersmichelle@example.net,713-261-5019,"589 Rivera Falls Apt. 341, West Kendra, OH 47636",Fashion Lover,48,Huge Books,Books,159.72,2023-12-25
45,James Gonzalez,qrogers@example.net,949-545-3536,"5269 Laura Manor, Carrieville, AK 72177",Fashion Lover,11,Shoulder Clothing,Clothing,233.5,2024-07-07
300,Zachary Johnson,paul59@example.net,364-143-3401,"41342 Black River, Brennanborough, KY 63386",Tech Enthusiast,26,Way Electronics,Electronics,219.98,2024-05-11
59,George Dillon,taylorsteven@example.org,592-441-5787,"PSC 4112, Box 8629, APO AA 19552",General Shopper,11,Shoulder Clothing,Clothing,117.43,2023-11-28
55,Christopher Smith,jeffreysharp@example.net,573-868-6187,"PSC 9087, Box 9924, APO AE 24020",Fashion Lover,11,Shoulder Clothing,Clothing,40.73,2024-05-26
335,Tracy Travis,rrussell@example.com,065-414-3473,"110 Jerry Mountains Suite 717, South Matthew, NM 63061",Bargain Hunter,37,Building Games,Toys & Games,35.79,2023-09-06
276,Mr. Marcus Walters,david22@example.net,051-455-2497,"820 Ashley Garden, Milesbury, GA 96992",Bargain Hunter,32,Until Kitchen,Home & Kitchen,45.56,2023-01-16
395,Mrs. Virginia Espinoza,sadams@example.org,161-518-2487,"5388 Decker Junction, Millsside, NV 87482",General Shopper,32,Until Kitchen,Home & Kitchen,184.08,2024-10-03
73,Thomas Woodward,cookjeffrey@example.com,353-166-9648,"93475 Sarah Ports, Lake Manuel, WA 52285",General Shopper,41,Such Clothing,Clothing,95.05,2024-06-15
233,Elizabeth Williams,robert35@example.org,285-906-0668,"1095 Murray Bypass, Stephenberg, MS 05191",Bargain Hunter,43,Remain Electronics,Electronics,15.95,2023-12-19
228,Michelle Brown,tlucero@example.net,946-355-2604,"87575 Peggy Track, Samanthabury, IL 44181",General Shopper,20,Situation Outdoors,Sports & Outdoors,118.76,2024-09-22
454,Robert Jensen,zweaver@example.net,324-503-4877,"01440 Robert Pines Apt. 327, Jenningsport, PR 01788",Fashion Lover,22,Plan Beauty,Health & Beauty,94.62,2023-11-21
492,Jason Allen,johnnyhall@example.com,038-876-3222,"7698 Ortiz Keys Apt. 777, Lake Lisafort, ID 99200",Tech Enthusiast,45,Right Electronics,Electronics,177.52,2024-05-09
434,Sharon Dunn,kenneth49@example.org,577-242-6673,"16495 Stephanie View Suite 669, Hubbardhaven, WA 56164",Tech Enthusiast,12,Grow Supplies,Pet Supplies,421.3,2024-01-21
447,Jeffrey Brooks,bobbyjohnson@example.org,263-637-0887,"173 Coleman Hills, Vincenttown, NM 42740",Bargain Hunter,35,Gas Books,Books,30.23,2023-06-15
409,Richard Goodman,bzimmerman@example.net,225-874-3739,"006 Brittany Fort Suite 401, South Debbie, HI 11164",Bargain Hunter,48,Huge Books,Books,5.02,2024-06-26
53,Travis Gomez,john06@example.net,468-820-0053,"8880 Dale Mills Apt. 498, South Terri, MI 78112",General Shopper,33,Ability Beauty,Health & Beauty,90.83,2023-02-01
38,Zachary Deleon,hernandezjavier@example.net,921-688-9360,"3618 Kerri Glen, Jeremiahland, WI 08150",General Shopper,13,Claim Supplies,Pet Supplies,190.23,2024-10-22
168,Abigail Hess,christopherramos@example.net,579-902-8089,"PSC 4810, Box 1264, APO AE 34577",General Shopper,50,Dream Games,Toys & Games,99.64,2023-05-05
285,Rebecca Tucker,dianawoods@example.com,366-384-3199,"Unit 6559 Box 6457, DPO AA 52064",Bargain Hunter,3,Compare Beauty,Health & Beauty,17.51,2024-07-03
438,William Ward,stanleysimmons@example.com,654-819-9361,"850 Frye Throughway, Lake Brandonview, NV 07451",General Shopper,46,Site Games,Toys & Games,101.34,2023-09-19
471,Tammy Baker,dberg@example.org,783-714-2313,"7839 Molina Squares, West Melissaland, NM 05137",General Shopper,32,Until Kitchen,Home & Kitchen,193.64,2024-01-31
175,Joanne Mitchell,ylynch@example.org,072-514-2365,"86834 Porter Gardens, Emilyport, HI 12726",Fashion Lover,5,Stay Clothing,Clothing,100.83,2023-01-24
202,Anna Riley,escobaramanda@example.com,785-608-1079,"01443 Hill Glen, Port Peterport, PW 56932",Bargain Hunter,14,Threat Electronics,Electronics,40.04,2023-07-10
23,Tasha Franklin,dstephens@example.org,473-296-8735,"297 Leah Road Apt. 935, Kimberlybury, OH 41443",General Shopper,23,Very Kitchen,Home & Kitchen,108.04,2023-09-04
480,Guy Lee,carloswilson@example.net,084-967-1616,"974 Angela Loop Suite 781, Kristinland, WV 27241",Bargain Hunter,32,Until Kitchen,Home & Kitchen,34.24,2024-12-31
299,Kayla Perez,mgonzalez@example.com,398-829-1256,"18184 Brianna Turnpike, Port Jenniferhaven, RI 15865",Bargain Hunter,34,Fire Grocery,Grocery,9.0,2024-02-19
292,James Harrison,jonesthomas@example.com,021-192-1872,"323 Amy Falls, West Amberhaven, TX 31466",Bargain Hunter,32,Until Kitchen,Home & Kitchen,21.91,2024-02-10
268,Evelyn Monroe,sharon26@example.com,762-879-6387,"5910 Devin Mall Apt. 956, South Loriborough, TX 56095",General Shopper,38,Necessary Electronics,Electronics,47.92,2024-05-26
53,Travis Gomez,john06@example.net,468-820-0053,"8880 Dale Mills Apt. 498, South Terri, MI 78112",General Shopper,16,Though Outdoors,Sports & Outdoors,21.98,2024-08-05
31,Elizabeth Brown,joshua24@example.net,557-924-5255,"0840 Paul Spurs Suite 832, Hensonstad, WV 78181",Bargain Hunter,17,Game Automotive,Automotive,7.83,2024-08-11
302,Mrs. Veronica Christensen,yhill@example.com,470-274-9070,"9842 Rose Crossing, East Sharonbury, MH 29264",Fashion Lover,5,Stay Clothing,Clothing,284.03,2024-05-07
355,Amber Thomas,barnesrobin@example.net,834-524-7925,"774 Leonard Station, West Kelly, MN 03416",General Shopper,50,Dream Games,Toys & Games,160.88,2024-01-26
223,Gregg Johnson,chavezsarah@example.com,034-796-6624,"075 Jackson Stravenue Suite 725, Audreystad, SD 56503",Bargain Hunter,32,Until Kitchen,Home & Kitchen,15.01,2023-11-19
422,Christy Dunn,melissa22@example.net,874-819-1299,"8078 Williams Turnpike Apt. 074, South Andreburgh, MA 65187",Tech Enthusiast,43,Remain Electronics,Electronics,342.05,2024-02-28
411,Eduardo Burch,lbecker@example.org,115-929-2467,"408 Young Shoals Suite 292, Timothyland, MI 59146",Fashion Lover,13,Claim Supplies,Pet Supplies,111.22,2024-09-04
495,Douglas Byrd,jacobjohnson@example.net,615-289-8820,"653 Tony Roads, Barberland, MS 87569",Bargain Hunter,39,Author Outdoors,Sports & Outdoors,39.91,2024-06-18
133,Kenneth Jimenez,christinarice@example.org,788-184-6895,"60138 Clark Plains, East Jessicaside, VT 73894",General Shopper,48,Huge Books,Books,109.26,2023-03-30
231,Samuel Mathews,steven44@example.net,456-882-0188,"9373 Leonard Gateway, New Johnmouth, MI 30374",General Shopper,5,Stay Clothing,Clothing,45.87,2023-02-19
192,John Jackson MD,josephjohnson@example.net,927-205-4219,"972 Oneal Ford, Jonathanport, VA 99392",Fashion Lover,30,Fast Beauty,Health & Beauty,233.72,2024-07-07
20,Michael Stein,markwilkins@example.net,356-583-1437,"04745 Fernando Rue, Rossshire, KY 49363",General Shopper,30,Fast Beauty,Health & Beauty,97.86,2024-01-05
43,Bruce Murray,kelseymartin@example.net,110-786-0553,"29250 April Glens Suite 524, Jacksonside, OH 84291",Bargain Hunter,29,Difficult Books,Books,35.37,2023-11-01
120,Christian Moore,williammason@example.net,983-111-9436,"648 Costa Extensions, Cynthiaview, FM 21289",Bargain Hunter,34,Fire Grocery,Grocery,20.08,2023-06-27
358,Shannon Gardner,coreysharp@example.com,907-269-4563,"559 Thompson Ports Suite 665, Kendrafort, GU 29091",Tech Enthusiast,26,Way Electronics,Electronics,368.02,2023-04-08
367,Lindsay Green,tbentley@example.net,702-236-5504,"4661 Brown Street, Schmittberg, KS 92301",Bargain Hunter,41,Such Clothing,Clothing,16.05,2024-09-26
281,Isaac Thomas,dmitchell@example.net,650-949-7181,"USS Lee, FPO AP 64638",Tech Enthusiast,29,Difficult Books,Books,190.62,2023-06-19
99,Miguel Brooks,brianjohnson@example.com,137-211-2232,"PSC 6102, Box 2346, APO AE 06075",Bargain Hunter,23,Very Kitchen,Home & Kitchen,5.22,2023-02-04
459,Jennifer Jacobs,qwilson@example.net,156-324-3240,"55420 Knapp Mountains, Michaelfort, DC 60196",Bargain Hunter,28,Special Supplies,Pet Supplies,5.3,2023-12-10
486,Kimberly Watson,gillsteven@example.net,214-249-3119,"1768 Schultz Locks Suite 925, Lake Andrewhaven, IL 89621",Fashion Lover,23,Very Kitchen,Home & Kitchen,116.83,2023-01-13
148,Jonathan French,linda73@example.net,690-176-6187,"4450 Anthony Turnpike, North Maryshire, MH 77749",General Shopper,5,Stay Clothing,Clothing,110.26,2023-08-28
161,Justin Little Jr.,patricia55@example.net,608-384-1741,"016 Jennings Trace Suite 266, Poncebury, KY 01315",General Shopper,8,Yes Beauty,Health & Beauty,148.4,2023-03-11
136,Justin Stark,brianholloway@example.net,998-854-9911,"29411 Beck Station Apt. 762, North Mitchellfort, HI 01041",Tech Enthusiast,26,Way Electronics,Electronics,106.13,2023-06-28
115,Jeremy Gonzales,scottberry@example.org,224-470-9407,"012 Hall Street, South Kevinchester, WY 50225",Tech Enthusiast,28,Special Supplies,Pet Supplies,152.12,2024-04-25
483,David Simpson,christineflores@example.net,520-834-4773,"734 Meza Skyway, Ashleystad, ME 55267",Tech Enthusiast,26,Way Electronics,Electronics,396.88,2023-05-30
433,Crystal Black,lucasramirez@example.net,289-976-9856,"91149 Robert Row Suite 802, Kellyburgh, CO 93847",Tech Enthusiast,10,Despite Outdoors,Sports & Outdoors,320.01,2024-02-08
7,John Richard,rflowers@example.org,402-986-7785,"994 Devin Ridge, Port Albertborough, NV 73481",General Shopper,10,Despite Outdoors,Sports & Outdoors,127.92,2024-05-02
54,Tanner Goodman,billy76@example.net,150-130-0929,"8129 Thomas Squares, Brettstad, FM 28703",General Shopper,5,Stay Clothing,Clothing,23.16,2024-02-28
377,Tracy Gonzalez,dmiller@example.net,420-502-1833,"5538 Ramirez Inlet Suite 191, East Madisonhaven, GU 94709",Bargain Hunter,16,Though Outdoors,Sports & Outdoors,12.43,2024-05-19
495,Douglas Byrd,jacobjohnson@example.net,615-289-8820,"653 Tony Roads, Barberland, MS 87569",Bargain Hunter,3,Compare Beauty,Health & Beauty,11.58,2023-06-26
386,Linda Mason,andreaspencer@example.net,290-383-0416,"55379 Robinson Ports Suite 337, Lake Tammy, OR 36674",General Shopper,50,Dream Games,Toys & Games,73.55,2023-05-08
399,Michael Nelson,martincindy@example.org,530-928-0847,"USS Castaneda, FPO AA 24287",Fashion Lover,25,Shoulder Beauty,Health & Beauty,145.65,2023-05-17
138,Daniel King,garciashannon@example.org,749-131-0145,"071 Michelle Alley Suite 376, Woodardtown, WA 52116",Bargain Hunter,32,Until Kitchen,Home & Kitchen,7.9,2024-05-06
370,Melissa Jacobs,lisarobinson@example.com,309-947-1892,"12689 Daniel Motorway Apt. 737, Ballardhaven, MA 61292",Bargain Hunter,28,Special Supplies,Pet Supplies,37.37,2023-01-04
259,Mark Smith,afernandez@example.net,996-105-2144,"533 Amy Parkway, Whiteland, NJ 80469",Bargain Hunter,34,Fire Grocery,Grocery,34.84,2023-02-23
291,Chelsea Nguyen,bkelley@example.com,595-060-6895,"50774 Mitchell Canyon, Melissamouth, MN 99446",Tech Enthusiast,48,Huge Books,Books,417.74,2023-01-05
254,Randy Fleming,matthew56@example.com,751-904-0384,"674 Henderson Lights, North Amandaview, SD 45360",Bargain Hunter,34,Fire Grocery,Grocery,35.49,2024-03-02
365,Tammie Vincent,rhoward@example.org,332-432-3026,"USS Armstrong, FPO AA 95741",General Shopper,29,Difficult Books,Books,102.22,2024-09-21
261,Jason Salazar,susan65@example.net,673-992-5393,"50798 Carter Underpass, Georgeberg, MA 24083",General Shopper,19,Economic Games,Toys & Games,52.24,2024-12-17
262,Pamela Delgado,saramcintyre@example.org,686-350-1906,"4643 Wesley Flat, Christopherland, NM 91177",Bargain Hunter,45,Right Electronics,Electronics,12.41,2023-06-03
494,Kyle Edwards,ysimmons@example.org,382-676-2269,"3511 Paige Brook Suite 926, New Joseph, AL 10222",General Shopper,25,Shoulder Beauty,Health & Beauty,37.98,2023-05-17
230,Raven Lee,moranrobert@example.com,852-985-7778,"646 Michael Shore Apt. 595, West Andrewville, ID 43086",Bargain Hunter,45,Right Electronics,Electronics,34.43,2023-09-30
413,Evan Smith,steve72@example.com,610-478-3795,"612 Conner Mountains Apt. 773, North Sarahbury, ME 62674",General Shopper,41,Such Clothing,Clothing,39.31,2024-12-02
473,Danielle Davis,myersmichelle@example.net,713-261-5019,"589 Rivera Falls Apt. 341, West Kendra, OH 47636",Fashion Lover,5,Stay Clothing,Clothing,119.21,2024-11-01
465,Brandon Morales,xmaynard@example.com,653-559-3789,"4382 Laura Summit Apt. 053, Yoderbury, IA 89295",Fashion Lover,26,Way Electronics,Electronics,265.91,2024-02-08
326,John Osborn,jennifer47@example.com,664-579-8792,"6167 Mark Union Apt. 122, North Andrea, MH 91384",General Shopper,41,Such Clothing,Clothing,126.88,2023-11-05
173,Nathan Lam,astewart@example.com,377-034-5775,"00893 Brianna Valleys Apt. 112, New Adamview, LA 45911",General Shopper,36,Effect Outdoors,Sports & Outdoors,97.98,2024-01-28
182,Scott Gates,zperkins@example.org,950-689-2850,"36170 Tiffany Mountains Apt. 866, South Jeremy, OH 44072",General Shopper,15,Wide Supplies,Pet Supplies,71.01,2024-03-17
478,Nancy Lynch,stephaniecraig@example.net,177-518-3016,"54804 Jeanne Path Suite 228, Ruthchester, PW 58232",Bargain Hunter,5,Stay Clothing,Clothing,37.63,2024-04-18
143,Connie Mills,tsmith@example.com,303-710-5796,"589 Danielle Heights, New Lynnmouth, LA 64013",Bargain Hunter,32,Until Kitchen,Home & Kitchen,45.64,2024-11-17
134,Dwayne Sexton,frank72@example.org,710-254-4558,"47633 Thompson Village Suite 695, Monteshaven, ME 09239",Bargain Hunter,48,Huge Books,Books,23.4,2023-04-23
25,Adriana Morgan,jonesaaron@example.org,846-436-2915,"0102 Julia Tunnel, East Kristifort, MI 74287",General Shopper,12,Grow Supplies,Pet Supplies,81.52,2024-09-23
275,Peter Dixon,jamiepeterson@example.com,281-240-3753,"97282 Ramsey Fords Apt. 909, Johnsonshire, NY 96459",Tech Enthusiast,50,Dream Games,Toys & Games,122.61,2024-10-22
263,Zachary Smith,fware@example.net,590-174-4662,"00992 Wilson Circle Apt. 148, Maxwellfurt, PR 52892",Bargain Hunter,7,High Automotive,Automotive,37.04,2024-07-21
491,Courtney Cunningham,pwells@example.org,867-782-4189,"9497 Holly Knolls Apt. 783, Dodsonside, OH 62133",General Shopper,11,Shoulder Clothing,Clothing,181.04,2023-09-08
85,Joel Lee,owenscarrie@example.com,153-127-9744,"787 Tyler Cliffs Apt. 921, Benjaminton, OR 41650",Tech Enthusiast,17,Game Automotive,Automotive,107.94,2024-10-26
162,Eric Wiley,annasanders@example.net,385-759-3568,"USNV Johnson, FPO AE 55122",General Shopper,31,Market Games,Toys & Games,196.29,2024-09-06
36,Jessica Vaughn,tylerhunt@example.com,340-390-4291,"634 Benjamin Knoll Apt. 941, East Clayton, MI 22297",Tech Enthusiast,5,Stay Clothing,Clothing,231.59,2024-12-28
